Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1992,-1.5,-1.4,1.9,6.4,11.2,15.2,20.4,20.6,17.4,13.9,6.0,0.7,9.2
1993,-1.0,-1.3,1.7,5.6,11.6,13.1,18.6,20.2,19.2,13.8,6.2,0.8,9.0
1994,-4.1,-0.9,0.6,6.8,13.5,15.9,20.1,24.4,20.2,14.5,7.3,-0.9,9.8
1995,-1.8,-2.1,1.6,7.6,14.2,15.7,21.1,21.6,19.2,14.8,7.6,0.9,10.0
1996,-2.2,-2.2,1.0,6.2,10.1,14.9,18.5,21.8,19.6,13.1,4.9,0.0,8.8
1997,-1.6,-1.2,1.2,7.2,10.7,14.0,19.9,19.5,18.8,12.9,9.0,1.5,9.3
1998,-4.8,-2.4,2.8,8.4,13.5,16.0,18.3,20.4,20.2,15.1,4.3,-0.1,9.3
1999,-2.1,-3.4,-0.5,7.7,11.1,17.9,19.8,23.9,20.9,14.1,6.2,0.0,9.6
2000,-2.1,-3.6,0.2,6.1,12.7,15.5,22.0,24.5,20.6,13.1,3.9,-1.6,9.3
2001,-4.3,-5.2,-0.1,7.7,11.8,15.8,20.3,21.7,18.4,13.2,6.4,-2.3,8.6
2002,-1.7,1.0,3.1,10.2,14.9,14.8,18.2,19.8,20.3,13.3,4.4,-2.3,9.7
2003,-2.3,-3.0,1.4,8.2,13.3,17.3,17.5,21.1,19.5,13.9,7.0,0.6,9.5
2004,-2.2,-0.8,2.0,7.3,14.1,17.5,19.5,22.7,20.5,14.8,8.5,0.5,10.4
2005,-2.6,-3.7,1.0,6.8,10.1,17.7,19.9,23.8,20.8,15.0,7.0,-0.4,9.6
2006,-3.6,-2.1,1.2,4.5,12.6,15.3,21.7,24.2,20.6,14.3,7.3,0.0,9.7
2007,-1.9,-0.6,1.6,6.6,10.5,17.7,20.2,23.1,19.8,14.0,5.5,-0.1,9.7
2008,-4.1,-2.4,3.0,9.9,11.9,15.4,20.7,21.2,21.0,14.2,6.2,2.2,9.9
2009,-0.5,-1.9,2.2,7.2,13.5,15.3,17.5,21.6,19.9,14.4,5.4,-0.2,9.5
2010,-1.2,-2.8,0.8,6.1,10.4,18.5,20.5,25.1,21.3,14.3,6.9,1.2,10.1
2011,-3.5,0.0,1.7,7.1,9.3,15.7,20.7,24.4,21.1,14.7,7.5,-0.5,9.9
2012,-3.6,-4.1,0.2,7.6,11.9,16.4,20.2,23.5,22.2,14.4,5.9,-0.7,9.5
2013,-4.1,-3.0,1.3,6.9,10.3,17.7,22.6,22.9,20.3,14.7,7.9,1.4,9.9
2014,-2.9,-2.0,1.0,6.5,12.3,17.4,22.2,22.9,19.7,13.8,7.7,0.0,9.9
2015,-1.1,0.2,4.4,8.9,13.1,15.2,20.2,21.7,20.6,13.0,5.8,2.0,10.3
2016,-3.5,-2.5,3.2,7.2,15.4,15.8,20.4,24.4,19.5,12.0,2.5,-0.2,9.5
2017,-2.4,-0.9,1.7,8.4,13.2,14.9,21.4,21.4,19.8,12.9,5.3,-1.1,9.6
2018,-1.6,-3.0,2.7,8.7,12.9,15.6,19.7,21.0,20.4,15.7,7.3,0.2,10.0
2019,-2.0,-2.3,2.3,8.5,16.7,16.3,21.1,20.6,21.1,15.3,5.3,0.2,10.3
2020,-1.8,-2.2,3.5,7.4,13.1,16.9,20.6,22.4,21.4,14.8,6.8,-1.4,10.1
2021,-3.8,-1.5,4.1,8.6,13.0,18.0,24.9,23.2,21.3,14.5,,,12.2
